Index,Text
1,그래요
2,통화 보셨어요 고객
3,통화 했는데요 이제 이상해야지 지금 상환 지금 하고 있습니다
4,어떤 그러세요 고객
5,저쪽 외진 은행 에다 이제 넣으라는데 부산 은행 불러주면서 거기 넣으라 그러니까 이제 자산 이해 돼서
6,지금 유진 에서 공문 확인 해서 연락 드린 건데 저희 으로도 계좌 안내 주셨어요 고객 위반 이제 저쪽 으로 이해 되죠
7,알아보고 나중 연락 드릴게요 여기 보세요
8,알겠습니다 고객
1,
2,안녕하십니까 여기는 케이 PT 아이 라고 합니다
3,
4,
5,여보세요 말씀 하세요
6,다른 아니라 기획 대출 상품 전화 드렸거든요 혹시 기획 대출 상품 이용 하실 의향 있으신 가요
7,어떤 건데
8,같은 경우 에는 고객 께서 아까 말씀드린 처럼 기획 대출 상품 고객 신용 상관없이 프로 가능하시고요 고객 께서 인제 개통 시청 반영 되어 있으면은 토대 진행 가능하신 겁니다 그요
9,혹시 쇼핑 필리핀 마누라 가망 아니냐
10,마닐라
11,쪼이라고 많은데어
12,그만둘려고요
13,그거 너무 그래 이랬잖아 엄마 상업 아저씨
14,시기 하다고 전화번호 보고 같아 갖고 지금 장난 치라 그랬는데 아이고 저기 관광객 하고 그때 마닐라 마카티 물어보니까 마닐라 라고 했는데 마카티 몰라 마닐라 마일 라이 마카티 시킨 거야
15,저희 외출 금지 당해 가지
16,그니까 완전 강금 했구만 완전 라카 시티 우리나라 강남 파란 같은 덴데 모르고 지금 여행 다녀 주말 해도 그럼 시켜주고 그러는데 그렇게 했는데 요즘
17,근해 시켜줘요 이다 질리 오늘 진짜 프로 밖에 뛰네 아이고
18,알겠어요 꼬세 오도 종류 같은 필요한 어떻
19,
1,안녕하세 요요
2,KT 무역 강일 부장 입니다 일단 거주 자시는 지역 하고 나이 있을까요
3,서울 이랑 지역
