title,author,publish_date,keywords,description
[※공개수배] 보이스피싱 실제음성 대공개 / 비디오머그,비디오머그 - VIDEOMUG,2018-07-17,"['뉴스', 'NEWS', 'SBS', 'SBS NEWS', '비디오머그', 'VIDEOMUG', '뉴미디어', 'KOREA NEWS', 'Korean News', '대한민국 뉴스', '생중계', '실시간', 'Live', '저널리즘', '생방송', '인사이트', '스포츠', '뉴스넷', 'newsnet', 'YoutubeUploader', '보이스피싱', '공개수배']","금융감독원이 보이스피싱(전화금융사기) 사기범 17명의 목소리를 공개 수배했습니다. 금감원은 최대 2천만 원의 포상금을 주기로 하고 이 목소리를 ‘보이스피싱 지킴이’ 사이트(http://phishing-keeper.fss.or.kr)에 공개해 누구나 접근할 수 있도록 했습니다.

[※공개수배] 보이스피싱 실제음성 대공개 / 비디오머그

?신뢰할 수 있는 재미, 비디오머그 VIDEOMUG"
보이스 피싱 당해서 2천원 날렸습니다 (영상 보시고 여러분은 제발 당하지 마세요),옆집아들,2022-05-01,"['성폭행', '보이스피싱', '피싱', '보이스', '사기', '범죄', '조선족', '중국']","""오빠 나 성폭행 당했어.""
울며 전화하는 아내 목소리를 듣고 한 순간에 정신이 무너져버렸습니다.

보이스 피싱, 그거 당하는 사람이 바보 아냐?
이렇게 생각하시는 분들, 의외로 많을 수도 있습니다.
하지만 저처럼 정말 이런 범죄에 대해 잘 알고 있다고 자부하고 있는 사람도
치밀하게 설계된 보이스 피싱에 걸리면 큰 피해를 입을 수 있습니다.

모르는 파일 설치하지 마시고,
아무 링크나 클릭하지 마시고,
항상 보안에 신경쓰시기 바랍니다.

그런데 사실 저는 평소에 항상 그렇게 해왔는데도 이번에 털릴 뻔 했어요.
...아무래도 답이 없나 봅니다. (정말 씁쓸하네요)

---------------- 고정 댓글 내용을 추가합니다 --------------------

KBS 1TV 일요일 저녁 8시 ""시사멘터리 추적"" 보이스피싱 편에 본 내용이 소개되었습니다. 6월 12일 1부에서는 악성 앱을 설치하도록 유도해서 좀비폰을 만드는 과정을 소개했고 6월 19일 2부에서, 본 영상을 포함해 실제 설계자들의 수법을 소개했습니다. 방송에 따르면 저 같은 경우엔 여행 사이트가 해킹되어 해당 결제 내역과 전화번호가 유출된 것으로 추측됩니다.

- 추적 2부 영상 바로가기 (24:13부터)
https://youtu.be/CnIr6A6Y8xs

- 서울경제 기사로도 소개되어 공유 드립니다.
https://sedaily.com/NewsView/267A36QNFP

나아가 영상엔 나오지 않았지만 제가 처음 전화를 인지하고 받게된 상황이, 본 피싱에 취약할 수 밖에 없는 환경이었음을 깨닫게 되었습니다. 저는 스마트워치(갤럭시워치)를 통해 전화가 온 것을 최초로 확인했고, 이후 Z 플립으로 전화를 수신하여, 기기 특성상 해당 발신 번호를 전확히 확인할 수 없는 최악의 조합에 노출되어 있었더군요(외부 액정으로 애칭만 확인 후 바로 수신...) 모쪼록 다른 분들은 이 점도 유념해 주시길 부탁 드립니다.

아울러 본 영상에 무의미한 조롱 악플 다는 놈들께는 일일히 대응하고 있지 않으나, 내용이 지나치거나 가족을 언급하는 등 수위가 부적절하다고 판단될 경우 고소 절차 진행 예정이니 유념하시기 바랍니다. 이 경우 당연히 선처는 없습니다."
보이스피싱 '미공개 육성파일' 17개가 나왔다!!! 들으면 '진짜라고 믿게 된다'는 그놈 목소리 패턴 분석,엠빅뉴스,2021-05-18,"['보이스피싱', '피싱', '금융감독원', '그놈목소리', '육성파일', '연변', '금감원', '스팸']","금융감독원이 새롭게 등장한 보이스피싱 유형 17개를 전격 공개했습니다. 과거 연변 말투의 어눌한 남성 목소리는 사라지고, 여성의 부드러운 목소리가 피해자의 불안과 의심을 해소시켜준다는데요. 잘 들어보시고, 절대 속지 마시길!!!

#보이스피싱 #금융감독원 #금감원 #육성파일 #연변"
보이스피싱 사례 - 음성공개 (경찰청사칭 보이스피싱),노티시아티비(Noticia TV),2015-02-12,"['voice phishing', '보이스피싱', '금융사기 20140130김명철', '김명철 명의도용사건', '사건번호 20140130', '신종보이스피싱', '금융사기단검거', '명의도용사건 보이스피싱', '서울지방경찰청사칭', '경찰청보이스피싱', '경찰사칭보이스피싱']","서울지방경찰청사칭 보이스피싱이며, ""사건번호 20140130 김명철 명의도용사건"" 범인을 체포했다고 하며 내 이름으로 된 대포통장이 발견되어 직접관련 있는지 확인해 본다하며 계좌번호와 비밀번호등을 물어봄
이 같은 보이스피싱 피해자가 다시는 발생하지 않기를 바라며 통화내용을 공개합니다.
마지막에 정신차렸지만 순간 완전 빠져들었던 내자신이 참 바보같고, 황당하고 우스운 일이었습니다.
보이스피싱자 말한 위주로 편집되었으며, 이같은 음성과 말투 기억해 두시고 절대 당하시는 분 없기를 바랍니다."
"[보이스피싱 사기범 제보요청] 전화금융사기범 음성_04(여성, 5차례 신고)",시니어금융교육협의회,2020-12-09,[],"지금 듣고 계신 목소리의 실제 사기범을 아래 주소로 신고하세요!
포상금 2천만원!(신고 국번없이 1332)

금융감독원/국립과학수사연구원
http://phishing-keeper.fss.or.kr"
[실제 피해음성 공개] 보이스피싱 마스터도 피하지 못한 신종 수법!,금융위원회,2019-06-19,"['금융위원회', '방송통신위원회', '경찰청', '보이스피싱', '스미싱', '실제', '목소리']","[보이스피싱 피해예방 관계기관 합동 캠페인]

의심하고! 전화끊고! 확인하고!
#보이스피싱 마스터도 피하지 못한 수법은?
신종 보이스피싱의 실제 피해음성을 공개합니다."
100%리얼-올해 신상 보이스피싱 예방하시라고 일부러 낚여봄,짧은팁날리지(Tip Knowledge),2022-03-20,"['보이스피싱예방', '범칙금피싱', '피싱예방', '꿀팁정보']","얘네들 수법이 날이 갈수록 진화하더니만 이번에는 정말 상상도

못한 방법으로 사람 솎이려 하네요 !! 영상 시청 후 동일한 수법에

당하지 않게 미리 예방합시다

#신종보이스피싱 #피싱예방법"
“이건 진짜 나도 속겠는데?” 소리 절로 나오는 요즘 보이스피싱 수법 / KBS  2022.05.28.,KBS News,2022-05-27,"['KBS', 'KBS NEWS', 'KBS뉴스', 'NEWS', 'format:리포트', 'genre:사회', 'series:뉴스광장', 'source:영상', 'type:방송', '뉴스', '뉴스광장', '뉴스광장2부']","▣ KBS 기사 원문보기 : http://news.kbs.co.kr/news/view.do?ncd=5473385

▣ 제보 하기
◇ 카카오톡 : 'KBS제보' 검색
◇ 전화 : 02-781-1234
◇ 홈페이지 : https://goo.gl/4bWbkG
◇ 이메일 : kbs1234@kbs.co.kr"
"[보이스피싱 사기범 제보요청] 전화금융사기범 음성_03(남성, 5차례 신고)",시니어금융교육협의회,2020-12-09,[],"지금 듣고 계신 목소리의 실제 사기범을 아래 주소로 신고하세요!
포상금 2천만원!(신고 국번없이 1332)

금융감독원/국립과학수사연구원
http://phishing-keeper.fss.or.kr"
"[보이스피싱 사기범 제보요청] 전화금융사기범 음성_02(남성, 6차례 신고)",시니어금융교육협의회,2020-12-09,[],"지금 듣고 계신 목소리의 실제 사기범을 아래 주소로 신고하세요!
포상금 2천만원!(신고 국번없이 1332)

금융감독원/국립과학수사연구원
http://phishing-keeper.fss.or.kr"
